,u,v,EVENT_START,EVENT_END,TIME_START,TIME_END,EVENT_START_STR,EVENT_END_STR,_label,IS_ALERT,OPTYPE,REL_TIME_START,REL_TIME_END
0,6,0,1557940389560000000,1557940389560000000,1557940389560000000,1557940389560000000,1557940389560000000,1557940389560000000,0,0,0,92778948000000,92778948000000
1,7,6,1557940389444000000,1557940389444000000,1557940389444000000,1557940389444000000,1557940389444000000,1557940389444000000,0,0,0,92779064000000,92779064000000
2,5,4,1557870321477000000,1557870321477000000,1557870321477000000,1557870321477000000,1557870321477000000,1557870321477000000,0,0,0,162847031000000,162847031000000
3,8,5,1557870321476000000,1557870321476000000,1557870321476000000,1557870321476000000,1557870321476000000,1557870321476000000,0,0,0,162847032000000,162847032000000
4,9,8,1557870321476000000,1557870321476000000,1557870321476000000,1557870321476000000,1557870321476000000,1557870321476000000,0,0,0,162847032000000,162847032000000
5,0,1,1558033168508000000,1558033168508000000,1558033168508000000,1558033168508000000,1558033168508000000,1558033168508000000,0,0,0,0,0
6,1,2,1558033171090000000,1558033171090000000,1558033171090000000,1558033171090000000,1558033171090000000,1558033171090000000,0,0,0,-2582000000,-2582000000
7,11,10,1557861371327000000,1557861371327000000,1557861371327000000,1557861371327000000,1557861371327000000,1557861371327000000,0,0,0,171797181000000,171797181000000
8,10,9,1557868291074000000,1557868291074000000,1557868291074000000,1557868291074000000,1557868291074000000,1557868291074000000,0,0,0,164877434000000,164877434000000
9,3,7,1557870911821000000,1557870911821000000,1557870911821000000,1557870911821000000,1557870911821000000,1557870911821000000,0,0,0,162256687000000,162256687000000
10,4,3,1557870911605000000,1557870911605000000,1557870911605000000,1557870911605000000,1557870911605000000,1557870911605000000,0,0,0,162256903000000,162256903000000
