,u,v,EVENT_START,EVENT_END,TIME_START,TIME_END,EVENT_START_STR,EVENT_END_STR,_label,IS_ALERT,ACCESS_AMOUNT,OPTYPE
0,10,311,1558041923173000000,1558041923173000000,1558041923173000000,1558041923173000000,1558041923173000000,1558041923173000000,4,0,0,3
1,52,270,1558008153359000000,1558016644850000000,1558008153359000000,1558016644849000000,1558008153359000000,1558016644849000000,4,0,0,3
2,11,190,1557960348937000000,1557960348937000000,1557960348937000000,1557960348937000000,1557960348937000000,1557960348937000000,4,0,0,3
3,52,238,1558017948835000000,1558017948835000000,1558017948835000000,1558017948835000000,1558017948835000000,1558017948835000000,4,0,0,3
4,10,309,1558041923175000000,1558041923175000000,1558041923175000000,1558041923175000000,1558041923175000000,1558041923175000000,4,0,0,3
5,11,276,1557960348941000000,1557960348941000000,1557960348941000000,1557960348941000000,1557960348941000000,1557960348941000000,4,0,0,3
6,11,274,1557960348954000000,1557960348954000000,1557960348954000000,1557960348954000000,1557960348954000000,1557960348954000000,4,0,0,3
7,52,308,1558008153366000000,1558008153366000000,1558008153366000000,1558008153366000000,1558008153366000000,1558008153366000000,4,0,0,3
8,52,262,1558017948834000000,1558017948834000000,1558017948834000000,1558017948834000000,1558017948834000000,1558017948834000000,4,0,0,3
9,9,325,1558033494623000000,1558033494623000000,1558033494623000000,1558033494623000000,1558033494623000000,1558033494623000000,4,0,0,10
10,10,307,1558041940131000000,1558041940131000000,1558041940131000000,1558041940131000000,1558041940131000000,1558041940131000000,4,0,0,3
11,11,272,1557960348951000000,1557960348951000000,1557960348951000000,1557960348951000000,1557960348951000000,1557960348951000000,4,0,0,3
12,52,118,1558008143533000000,1558017031377000000,1558008143533000000,1558016666573000000,1558008143533000000,1558016666573000000,4,0,0,3
13,11,268,1557960348976000000,1557960348976000000,1557960348976000000,1557960348976000000,1557960348976000000,1557960348976000000,4,0,0,3
14,9,318,1558033494616000000,1558033494634000000,1558033494616000000,1558033494616000000,1558033494616000000,1558033494616000000,4,0,0,10
15,52,306,1558017948822000000,1558017948822000000,1558017948822000000,1558017948822000000,1558017948822000000,1558017948822000000,4,0,0,3
16,11,266,1557960348931000000,1557960348974000000,1557960348931000000,1557960348974000000,1557960348931000000,1557960348974000000,4,0,0,3
17,52,324,1558010708227000000,1558010708227000000,1558010708227000000,1558010708227000000,1558010708227000000,1558010708227000000,4,0,0,3
18,10,305,1558041940133000000,1558041940133000000,1558041940133000000,1558041940133000000,1558041940133000000,1558041940133000000,4,0,0,3
19,11,264,1557960348977000000,1557960348977000000,1557960348977000000,1557960348977000000,1557960348977000000,1557960348977000000,4,0,0,3
20,11,319,1557960348909000000,1557960348965000000,1557960348910000000,1557960348965000000,1557960348910000000,1557960348965000000,4,0,0,3
21,52,304,1558017948831000000,1558017948831000000,1558017948831000000,1558017948831000000,1558017948831000000,1558017948831000000,4,0,0,3
22,11,258,1557960348880000000,1557960348950000000,1557960348880000000,1557960348880000000,1557960348880000000,1557960348880000000,4,0,0,3
23,11,323,1557960348975000000,1557960348975000000,1557960348975000000,1557960348975000000,1557960348975000000,1557960348975000000,4,0,0,3
24,52,310,1558017948828000000,1558017948828000000,1558017948828000000,1558017948828000000,1558017948828000000,1558017948828000000,4,0,0,3
