,u,v,EVENT_START,EVENT_END,TIME_START,TIME_END,EVENT_START_STR,EVENT_END_STR,_label,IS_ALERT,ACCESS_AMOUNT,OPTYPE
0,4,51,1557423737148000000,0,1557423737148000000,1557423737148000000,1557423737148000000,0,5,0,281,2
1,4,52,1557423803125000000,0,1557423803125000000,1557423803125000000,1557423803125000000,0,5,0,370,2
2,4,53,1557423777004000000,0,1557423777004000000,1557423777004000000,1557423777004000000,0,5,0,327,2
3,4,54,1557423777155000000,0,1557423777155000000,1557423777155000000,1557423777155000000,0,5,0,332,2
4,4,10,1557423740491000000,0,1557423740491000000,1557423740491000000,1557423740491000000,0,5,0,279,2
5,4,12,1557423737031000000,0,1557423737031000000,1557423737031000000,1557423737031000000,0,5,0,277,2
6,4,49,1557423736893000000,0,1557423736893000000,1557423736893000000,1557423736893000000,0,5,0,320,2
7,4,14,1557423737066000000,0,1557423737066000000,1557423737066000000,1557423737066000000,0,5,0,279,2
8,5,15,1557423723834000000,0,1557423723834000000,1557423723834000000,1557423723834000000,0,5,0,1,2
9,4,11,1557423740332000000,0,1557423740332000000,1557423740332000000,1557423740332000000,0,5,0,283,2
10,4,16,1557423740444000000,0,1557423740444000000,1557423740444000000,1557423740444000000,0,5,0,283,2
11,4,13,1557423777048000000,0,1557423777048000000,1557423777048000000,1557423777048000000,0,5,0,334,2
12,4,17,1557423740491000000,0,1557423740491000000,1557423740491000000,1557423740491000000,0,5,0,283,2
13,4,18,1557423740580000000,0,1557423740580000000,1557423740580000000,1557423740580000000,0,5,0,303,2
14,4,19,1557423737092000000,0,1557423737092000000,1557423737092000000,1557423737092000000,0,5,0,281,2
15,4,23,1557423740399000000,0,1557423740399000000,1557423740454000000,1557423740399000000,0,5,0,280,2
16,4,0,1557423740303000000,0,1557423740303000000,1557423740303000000,1557423740303000000,0,5,0,281,2
17,4,1,1557423740174000000,0,1557423740174000000,1557423740174000000,1557423740174000000,0,5,0,322,2
18,4,2,1557423777297000000,0,1557423777297000000,1557423777297000000,1557423777297000000,0,5,0,355,2
19,4,3,1557423740443000000,0,1557423740443000000,1557423740443000000,1557423740443000000,0,5,0,281,2
20,4,5,1557423740465000000,0,1557423740465000000,1557423740465000000,1557423740465000000,0,5,0,281,2
21,4,6,1557423737084000000,0,1557423737084000000,1557423737084000000,1557423737084000000,0,5,0,277,2
22,4,7,1557423740367000000,0,1557423740367000000,1557423740452000000,1557423740367000000,0,5,0,283,2
23,4,9,1557423740295000000,0,1557423740295000000,1557423740295000000,1557423740295000000,0,5,0,283,2
24,4,21,1557423737100000000,0,1557423737100000000,1557423737100000000,1557423737100000000,0,5,0,278,2
25,4,22,1557423777172000000,0,1557423777172000000,1557423777172000000,1557423777172000000,0,5,0,330,2
26,4,8,1557423740246000000,0,1557423740246000000,1557423740246000000,1557423740246000000,0,5,0,281,2
27,4,24,1557423777195000000,0,1557423777195000000,1557423777195000000,1557423777195000000,0,5,0,325,2
28,4,20,1557423740247000000,0,1557423740247000000,1557423740247000000,1557423740247000000,0,5,0,283,2
29,4,25,1557423740319000000,0,1557423740319000000,1557423740319000000,1557423740319000000,0,5,0,285,2
30,4,26,1557423740490000000,0,1557423740490000000,1557423740490000000,1557423740490000000,0,5,0,285,2
31,4,27,1557423740412000000,0,1557423740412000000,1557423740412000000,1557423740412000000,0,5,0,284,2
32,4,28,1557423726635000000,0,1557423726635000000,1557423726635000000,1557423726635000000,0,5,0,370,2
33,4,29,1557423722028000000,0,1557423722028000000,1557423825105000000,1557423722028000000,0,5,0,1,2
34,4,30,1557423767175000000,0,1557423767175000000,1557423767175000000,1557423767175000000,0,5,0,370,2
35,4,32,1557423740486000000,0,1557423740486000000,1557423740486000000,1557423740486000000,0,5,0,285,2
36,4,31,1557423737053000000,0,1557423737053000000,1557423737053000000,1557423737053000000,0,5,0,275,2
37,4,34,1557423740328000000,0,1557423740328000000,1557423740328000000,1557423740328000000,0,5,0,318,2
38,4,33,1557423740486000000,0,1557423740486000000,1557423740486000000,1557423740486000000,0,5,0,319,2
39,4,35,1557423776999000000,0,1557423776999000000,1557423776999000000,1557423776999000000,0,5,0,337,2
40,4,36,1557423777155000000,0,1557423777155000000,1557423777155000000,1557423777155000000,0,5,0,332,2
41,4,37,1557423740466000000,0,1557423740466000000,1557423740466000000,1557423740466000000,0,5,0,282,2
42,4,38,1557423777111000000,0,1557423777111000000,1557423777111000000,1557423777111000000,0,5,0,337,2
43,4,39,1557423737035000000,0,1557423737035000000,1557423737035000000,1557423737035000000,0,5,0,279,2
44,4,40,1557423776879000000,0,1557423776879000000,1557423776879000000,1557423776879000000,0,5,0,319,2
45,4,42,1557423740356000000,0,1557423740356000000,1557423740356000000,1557423740356000000,0,5,0,283,2
46,4,4,1557423740484000000,0,1557423740484000000,1557423740484000000,1557423740484000000,0,5,0,281,2
47,4,44,1557423740487000000,0,1557423740487000000,1557423740487000000,1557423740487000000,0,5,0,283,2
48,4,45,1557423777140000000,0,1557423777140000000,1557423777140000000,1557423777140000000,0,5,0,329,2
49,4,46,1557423740508000000,0,1557423740508000000,1557423740508000000,1557423740508000000,0,5,0,280,2
50,4,41,1557423737190000000,0,1557423737190000000,1557423737190000000,1557423737190000000,0,5,0,241,2
51,4,47,1557423737217000000,0,1557423737217000000,1557423737217000000,1557423737217000000,0,5,0,301,2
52,4,48,1557423727567000000,0,1557423727567000000,1557423727567000000,1557423727567000000,0,5,0,415,2
53,4,43,1557423740341000000,0,1557423740341000000,1557423740412000000,1557423740341000000,0,5,0,283,2
54,4,50,1557423740413000000,0,1557423740413000000,1557423740413000000,1557423740413000000,0,5,0,283,2
