,u,v,EVENT_START,EVENT_END,TIME_START,TIME_END,EVENT_START_STR,EVENT_END_STR,_label,IS_ALERT,ACCESS_AMOUNT,OPTYPE
0,211,190,1558105907562000000,1558105907566000000,1558105907562000000,1558105907566000000,1558105907562000000,1558105907566000000,5,0,4096,3
1,170,190,1557960023748000000,1557960023749000000,1557960023748000000,1557960023749000000,1557960023748000000,1557960023749000000,5,0,4096,3
2,160,121,1558045050979000000,1558045050979000000,1558045050979000000,1558045050979000000,1558045050979000000,1558045050979000000,5,0,4096,3
3,248,121,1558102656853000000,1558103861741000000,1558102656853000000,1558103861741000000,1558102656853000000,1558103861741000000,5,0,4096,3
4,224,190,1558037814801000000,1558037814802000000,1558037814801000000,1558037814802000000,1558037814801000000,1558037814802000000,5,0,4096,3
5,209,392,1557945317986000000,1557945455003000000,1557945317986000000,1557945455003000000,1557945317986000000,1557945455003000000,5,0,4096,3
6,208,392,1558011302611000000,1558013764359000000,1558011302611000000,1558013764359000000,1558011302611000000,1558013764359000000,5,0,4096,3
7,201,392,1557950082613000000,1557951470250000000,1557950082613000000,1557951470250000000,1557950082613000000,1557951470250000000,5,0,4096,3
8,200,392,1558102499170000000,1558102812360000000,1558102499170000000,1558102812360000000,1558102499170000000,1558102812360000000,5,0,4096,3
9,227,121,1557985585384000000,1557988722915000000,1557985585384000000,1557988722915000000,1557985585384000000,1557988722915000000,5,0,4096,3
10,133,121,1558043705558000000,1558046037771000000,1558043705558000000,1558046037771000000,1558043705558000000,1558046037771000000,5,0,4096,3
11,243,121,1557993606171000000,1557993606171000000,1557993606171000000,1557993606171000000,1557993606171000000,1557993606171000000,5,0,4096,3
12,133,190,1558043705562000000,1558044469404000000,1558043705562000000,1558044469404000000,1558043705562000000,1558044469404000000,5,0,4096,3
13,211,392,1558106286919000000,1558106286919000000,1558106286919000000,1558106286919000000,1558106286919000000,1558106286919000000,5,0,4096,3
14,238,121,1558100833177000000,1558100833177000000,1558100833177000000,1558100833177000000,1558100833177000000,1558100833177000000,5,0,4096,3
15,242,190,1558041043925000000,1558041103014000000,1558041043925000000,1558041103014000000,1558041043925000000,1558041103014000000,5,0,4096,3
16,119,121,1558021285430000000,1558023385024000000,1558021285430000000,1558023385024000000,1558021285430000000,1558023385024000000,5,0,4096,3
17,65,190,1558032623688000000,1558032623688000000,1558032623688000000,1558032623688000000,1558032623688000000,1558032623688000000,5,0,4096,3
18,242,121,1558041269302000000,1558043984848000000,1558041269302000000,1558043984848000000,1558041269302000000,1558043984848000000,5,0,4096,3
19,161,190,1558054435966000000,1558054435966000000,1558054435966000000,1558054435966000000,1558054435966000000,1558054435966000000,5,0,4096,3
20,132,190,1557960348852000000,1557960355276000000,1557960348852000000,1557960355276000000,1557960348852000000,1557960355276000000,5,0,4096,3
21,153,401,1557953215705000000,1557953274385000000,1557953215705000000,1557953274385000000,1557953215705000000,1557953274385000000,5,0,102400,3
22,151,392,1557963418682000000,1557967374011000000,1557963418682000000,1557967374011000000,1557963418682000000,1557967374011000000,5,0,4096,3
23,146,401,1558025305120000000,1558026959178000000,1558025305120000000,1558026959178000000,1558025305120000000,1558026959178000000,5,0,233472,3
24,154,401,1557948423858000000,1557948452104000000,1557948423858000000,1557948452104000000,1557948423858000000,1557948452104000000,5,0,32768,3
25,164,392,1557953303016000000,1557953303016000000,1557953303016000000,1557953303016000000,1557953303016000000,1557953303016000000,5,0,4096,3
26,156,401,1558030367844000000,1558030367844000000,1558030367844000000,1558030367844000000,1558030367844000000,1558030367844000000,5,0,593920,3
27,167,392,1557940788940000000,1557941516796000000,1557940788940000000,1557941516796000000,1557940788940000000,1557941516796000000,5,0,4096,3
28,164,190,1557953452695000000,1557953452696000000,1557953452695000000,1557953452696000000,1557953452695000000,1557953452696000000,5,0,4096,3
29,155,401,1557955805317000000,1557959579230000000,1557955805317000000,1557959579230000000,1557955805317000000,1557959579230000000,5,0,200704,3
30,162,190,1558037593746000000,1558039170634000000,1558037593746000000,1558039170634000000,1558037593746000000,1558039170634000000,5,0,4096,3
31,249,392,1557965547653000000,1557965547653000000,1557965547653000000,1557965547653000000,1557965547653000000,1557965547653000000,5,0,4096,3
32,248,392,1558102656854000000,1558106116987000000,1558102656854000000,1558106116987000000,1558102656854000000,1558106116987000000,5,0,4096,3
33,244,392,1558050797128000000,1558050907524000000,1558050797128000000,1558050907524000000,1558050797128000000,1558050907524000000,5,0,4096,3
34,178,190,1558043416315000000,1558043585244000000,1558043416315000000,1558043585244000000,1558043416315000000,1558043585244000000,5,0,8192,3
35,241,392,1558101964467000000,1558102047832000000,1558101964467000000,1558102047832000000,1558101964467000000,1558102047832000000,5,0,4096,3
36,170,392,1557959475645000000,1557963079233000000,1557959475645000000,1557963079233000000,1557959475645000000,1557963079233000000,5,0,4096,3
37,103,401,1558032042966000000,1558034147562000000,1558032042966000000,1558034147562000000,1558032042966000000,1558034147562000000,5,0,266240,3
38,172,401,1557947847677000000,1557947847684000000,1557947847677000000,1557947847684000000,1557947847677000000,1557947847684000000,5,0,32768,3
39,184,392,1557967242769000000,1557967275431000000,1557967242769000000,1557967275431000000,1557967242769000000,1557967275431000000,5,0,4096,3
40,89,401,1557949737289000000,1557949737289000000,1557949737289000000,1557949737289000000,1557949737289000000,1557949737289000000,5,0,32768,3
41,102,190,1557845433524000000,1557845433524000000,1557845433524000000,1557845433524000000,1557845433524000000,1557845433524000000,5,0,4096,3
42,250,392,1558043834573000000,1558043834573000000,1558043834573000000,1558043834573000000,1558043834573000000,1558043834573000000,5,0,4096,3
43,108,121,1558017873765000000,1558020337500000000,1558017873765000000,1558020337500000000,1558017873765000000,1558020337500000000,5,0,4096,3
44,241,190,1558101964455000000,1558101964456000000,1558101964455000000,1558101964456000000,1558101964455000000,1558101964456000000,5,0,4096,3
45,98,190,1558021508426000000,1558021550956000000,1558021508426000000,1558021550956000000,1558021508426000000,1558021550956000000,5,0,4096,3
46,100,121,1557951551911000000,1557952045171000000,1557951551911000000,1557952045171000000,1557951551911000000,1557952045171000000,5,0,8192,3
47,94,121,1558002328005000000,1558002328005000000,1558002328005000000,1558002328005000000,1558002328005000000,1558002328005000000,5,0,4096,3
48,119,190,1558023303320000000,1558023303321000000,1558023303320000000,1558023303321000000,1558023303320000000,1558023303321000000,5,0,4096,3
49,233,190,1558018496218000000,1558018640532000000,1558018496218000000,1558018640532000000,1558018496218000000,1558018640532000000,5,0,4096,3
50,93,121,1558022791563000000,1558023498878000000,1558022791563000000,1558023498878000000,1558022791563000000,1558023498878000000,5,0,4096,3
51,105,190,1558037914419000000,1558037914421000000,1558037914419000000,1558037914421000000,1558037914419000000,1558037914421000000,5,0,4096,3
52,250,401,1558043890422000000,1558043890422000000,1558043890422000000,1558043890422000000,1558043890422000000,1558043890422000000,5,0,430080,3
53,214,170,1557948421485000000,1557948474495000000,1557948421485000000,1557948474495000000,1557948421485000000,1557948474495000000,5,0,4096,3
54,120,401,1557946091713000000,1557947855926000000,1557946091713000000,1557947855926000000,1557946091713000000,1557947855926000000,5,0,233472,3
55,152,401,1558030303735000000,1558030303737000000,1558030303735000000,1558030303737000000,1558030303735000000,1558030303737000000,5,0,364544,3
56,217,170,1558102071992000000,1558104163713000000,1558102071992000000,1558104163713000000,1558102071992000000,1558104163713000000,5,0,4096,3
57,174,401,1558096939477000000,1558096947666000000,1558096939477000000,1558096947666000000,1558096939477000000,1558096947666000000,5,0,167936,3
58,129,392,1558106000242000000,1558106000242000000,1558106000242000000,1558106000242000000,1558106000242000000,1558106000242000000,5,0,4096,3
59,127,392,1557958395239000000,1557963166207000000,1557958395239000000,1557963166207000000,1557958395239000000,1557963166207000000,5,0,4096,3
60,114,121,1558025796087000000,1558025796087000000,1558025796087000000,1558025796087000000,1558025796087000000,1558025796087000000,5,0,4096,3
61,112,190,1558039686997000000,1558039686997000000,1558039686997000000,1558039686997000000,1558039686997000000,1558039686997000000,5,0,4096,3
62,103,392,1558037366983000000,1558037366983000000,1558037366983000000,1558037366983000000,1558037366983000000,1558037366983000000,5,0,4096,3
63,177,401,1557955840731000000,1557955842075000000,1557955840731000000,1557955842075000000,1557955840731000000,1557955842075000000,5,0,102400,3
64,218,401,1558095936049000000,1558095936122000000,1558095936049000000,1558095936122000000,1558095936049000000,1558095936122000000,5,0,32768,3
65,132,121,1557960355348000000,1557965149696000000,1557960355348000000,1557965149696000000,1557960355348000000,1557965149696000000,5,0,4096,3
66,0,408,1558108396482000000,1558108396482000000,1558108396482000000,1558108396482000000,1558108396482000000,1558108396482000000,5,0,4096,3
