,u,v,EVENT_START,EVENT_END,TIME_START,TIME_END,EVENT_START_STR,EVENT_END_STR,_label,IS_ALERT,ACCESS_AMOUNT,OPTYPE
0,0,296,1557428208697000000,1557428208698000000,1557428208697000000,1557428208698000000,1557428208697000000,1557428208698000000,4,0,293,2
1,0,287,1557429617743000000,1557429617743000000,1557429617743000000,1557429617743000000,1557429617743000000,1557429617743000000,4,0,145,2
2,0,291,1557434360153000000,1557434360154000000,1557434360153000000,1557434360154000000,1557434360153000000,1557434360154000000,4,0,494,2
3,0,290,1557428162506000000,1557428162506000000,1557428162506000000,1557428162506000000,1557428162506000000,1557428162506000000,4,0,305,2
4,0,289,1557425878529000000,1557425878529000000,1557425878529000000,1557425878529000000,1557425878529000000,1557425878529000000,4,0,1113,2
5,0,279,1557433379445000000,1557433379447000000,1557433379445000000,1557433379447000000,1557433379445000000,1557433379447000000,4,0,1460,2
6,0,284,1557425822331000000,1557425822331000000,1557425822331000000,1557425822331000000,1557425822331000000,1557425822331000000,4,0,24,2
7,0,285,1557434358838000000,1557434358841000000,1557434358838000000,1557434358841000000,1557434358838000000,1557434358841000000,4,0,1460,2
8,0,281,1557431151388000000,1557431151389000000,1557431151388000000,1557431151389000000,1557431151388000000,1557431151389000000,4,0,248,2
9,0,282,1557429542708000000,1557429542708000000,1557429542708000000,1557429542708000000,1557429542708000000,1557429542708000000,4,0,265,2
10,0,283,1557431122030000000,1557431122034000000,1557431122030000000,1557431122034000000,1557431122030000000,1557431122034000000,4,0,808,2
11,0,275,1557428327819000000,1557428327820000000,1557428327819000000,1557428327820000000,1557428327819000000,1557428327820000000,4,0,1195,2
12,0,237,1557425714501000000,1557425714503000000,1557425714501000000,1557425714503000000,1557425714501000000,1557425714503000000,4,0,238,2
13,0,280,1557425714501000000,1557425714505000000,1557425714501000000,1557425714505000000,1557425714501000000,1557425714505000000,4,0,1460,2
14,0,272,1557429542430000000,1557429542436000000,1557429542430000000,1557429542436000000,1557429542430000000,1557429542436000000,4,0,1460,2
15,0,234,1557431982276000000,1557431982277000000,1557431982276000000,1557431982277000000,1557431982276000000,1557431982277000000,4,0,143,2
16,0,167,1557431100916000000,1557431100917000000,1557431100916000000,1557431100917000000,1557431100916000000,1557431100917000000,4,0,293,2
17,0,945,1557429561756000000,1557429561758000000,1557429561756000000,1557429561758000000,1557429561756000000,1557429561758000000,4,0,1460,2
18,0,273,1557431122148000000,1557431122149000000,1557431122148000000,1557431122149000000,1557431122148000000,1557431122149000000,4,0,298,2
19,0,164,1557434359987000000,1557434359987000000,1557434359987000000,1557434359987000000,1557434359987000000,1557434359987000000,4,0,494,2
20,0,944,1557425696960000000,1557425696960000000,1557425696960000000,1557425696960000000,1557425696960000000,1557425696960000000,4,0,24,2
21,0,270,1557429241460000000,1557429241460000000,1557429241460000000,1557429241460000000,1557429241460000000,1557429241460000000,4,0,293,2
22,0,265,1557434359265000000,1557434359265000000,1557434359265000000,1557434359265000000,1557434359265000000,1557434359265000000,4,0,279,2
23,0,258,1557433377142000000,1557433377142000000,1557433377142000000,1557433377142000000,1557433377142000000,1557433377142000000,4,0,364,2
24,0,267,1557425661833000000,1557425661833000000,1557425661833000000,1557425661833000000,1557425661833000000,1557425661833000000,4,0,236,2
25,0,277,1557425388170000000,1557425388172000000,1557425388170000000,1557425388172000000,1557425388170000000,1557425388172000000,4,0,249,2
26,0,294,1557427302758000000,1557427302759000000,1557427302758000000,1557427302759000000,1557427302758000000,1557427302759000000,4,0,43,2
27,0,292,1557431947936000000,1557431947936000000,1557431947936000000,1557431947936000000,1557431947936000000,1557431947936000000,4,0,246,2
28,0,987,1557434358855000000,1557434358855000000,1557434358855000000,1557434358855000000,1557434358855000000,1557434358855000000,4,0,1460,2
29,0,339,1557425822368000000,1557425822368000000,1557425822368000000,1557425822368000000,1557425822368000000,1557425822368000000,4,0,293,2
30,0,309,1557428297722000000,1557428297722000000,1557428297722000000,1557428297722000000,1557428297722000000,1557428297722000000,4,0,305,2
31,0,313,1557425714874000000,1557425714875000000,1557425714874000000,1557425714875000000,1557425714874000000,1557425714875000000,4,0,293,2
32,0,305,1557428291532000000,1557428291532000000,1557428291532000000,1557428291532000000,1557428291532000000,1557428291532000000,4,0,1460,2
33,0,276,1557432017269000000,1557432017272000000,1557432017269000000,1557432017272000000,1557432017269000000,1557432017272000000,4,0,135,2
34,0,312,1557429685981000000,1557429685983000000,1557429685981000000,1557429685983000000,1557429685981000000,1557429685983000000,4,0,404,2
35,0,306,1557427302877000000,1557427302880000000,1557427302877000000,1557427302880000000,1557427302877000000,1557427302880000000,4,0,1460,2
36,0,307,1557429241215000000,1557429241216000000,1557429241215000000,1557429241216000000,1557429241215000000,1557429241216000000,4,0,293,2
37,0,308,1557423844593000000,1557423844593000000,1557423844593000000,1557423844593000000,1557423844593000000,1557423844593000000,4,0,269,2
38,0,299,1557424032044000000,1557424032045000000,1557424032044000000,1557424032045000000,1557424032044000000,1557424032045000000,4,0,248,2
39,0,304,1557427283232000000,1557427283232000000,1557427283232000000,1557427283232000000,1557427283232000000,1557427283232000000,4,0,1307,2
40,0,303,1557431152180000000,1557431152180000000,1557431152180000000,1557431152180000000,1557431152180000000,1557431152180000000,4,0,252,2
41,0,302,1557425714341000000,1557425714341000000,1557425714341000000,1557425714341000000,1557425714341000000,1557425714341000000,4,0,169,2
42,0,301,1557429644645000000,1557429644645000000,1557429644645000000,1557429644645000000,1557429644645000000,1557429644645000000,4,0,306,2
43,0,278,1557433378366000000,1557433378367000000,1557433378366000000,1557433378367000000,1557433378366000000,1557433378367000000,4,0,633,2
44,0,293,1557423843374000000,1557423843377000000,1557423843374000000,1557423843377000000,1557423843374000000,1557423843377000000,4,0,1460,2
45,0,300,1557431125915000000,1557431125915000000,1557431125915000000,1557431125915000000,1557431125915000000,1557431125915000000,4,0,232,2
46,0,297,1557425879117000000,1557425879123000000,1557425879117000000,1557425879123000000,1557425879117000000,1557425879123000000,4,0,470,2
47,0,298,1557432017956000000,1557432017957000000,1557432017956000000,1557432017957000000,1557432017956000000,1557432017957000000,4,0,469,2
48,0,295,1557429685863000000,1557429685864000000,1557429685863000000,1557429685864000000,1557429685863000000,1557429685864000000,4,0,585,2
49,0,314,1557429216947000000,1557429216950000000,1557429216947000000,1557429216950000000,1557429216947000000,1557429216950000000,4,0,1460,2
50,0,338,1557429686533000000,1557429686534000000,1557429686533000000,1557429686534000000,1557429686533000000,1557429686534000000,4,0,505,2
51,0,337,1557430726717000000,1557430726719000000,1557430726717000000,1557430726719000000,1557430726717000000,1557430726719000000,4,0,307,2
52,0,336,1557427328740000000,1557427328745000000,1557427328740000000,1557427328745000000,1557427328740000000,1557427328745000000,4,0,275,2
53,0,335,1557429561980000000,1557429561980000000,1557429561980000000,1557429561980000000,1557429561980000000,1557429561980000000,4,0,327,2
54,0,334,1557423845405000000,1557423845405000000,1557423845405000000,1557423845405000000,1557423845405000000,1557423845405000000,4,0,1,2
55,0,331,1557428327742000000,1557428327743000000,1557428327742000000,1557428327743000000,1557428327742000000,1557428327743000000,4,0,1460,2
56,0,330,1557423740581000000,1557423740581000000,1557423740581000000,1557423740581000000,1557423740581000000,1557423740581000000,4,0,293,2
57,0,327,1557429241279000000,1557429241280000000,1557429241279000000,1557429241280000000,1557429241279000000,1557429241280000000,4,0,293,2
58,0,332,1557431151513000000,1557431151513000000,1557431151513000000,1557431151513000000,1557431151513000000,1557431151513000000,4,0,251,2
59,0,328,1557429241779000000,1557429241780000000,1557429241779000000,1557429241780000000,1557429241779000000,1557429241780000000,4,0,293,2
60,0,326,1557432024831000000,1557432024831000000,1557432024831000000,1557432024831000000,1557432024831000000,1557432024831000000,4,0,261,2
