,u,v,EVENT_START,EVENT_END,TIME_START,TIME_END,EVENT_START_STR,EVENT_END_STR,_label,IS_ALERT,ACCESS_AMOUNT,OPTYPE
0,20,171,1558031840939000000,1558031840939000000,1558031840939000000,1558031840939000000,1558031840939000000,1558031840939000000,5,0,4096,3
1,208,190,1557934347317000000,1557945363142000000,1557934347317000000,1557945363142000000,1557934347317000000,1557945363142000000,5,0,4096,3
2,16,193,1558043522956000000,1558048373700000000,1558043522956000000,1558048373700000000,1558043522956000000,1558048373700000000,5,0,4096,3
3,24,201,1557845325245000000,1557845325245000000,1557845325245000000,1557845325245000000,1557845325245000000,1557845325245000000,5,0,4096,3
4,59,202,1558047853420000000,1558049114343000000,1558047853420000000,1558049114343000000,1558047853420000000,1558049114343000000,5,0,4096,3
5,219,208,1557575070731000000,1557576691356000000,1557575070731000000,1557576691356000000,1557575070731000000,1557576691356000000,5,0,36864,3
6,222,235,1557265217631000000,1557265217631000000,1557265217631000000,1557265217631000000,1557265217631000000,1557265217631000000,5,0,4096,3
7,226,238,1557793960270000000,1557793960270000000,1557793960270000000,1557793960270000000,1557793960270000000,1557793960270000000,5,0,12191,3
8,227,243,1557317472160000000,1557318362759000000,1557317472160000000,1557318362759000000,1557317472160000000,1557318362759000000,5,0,4096,3
9,228,247,1557426181905000000,1557428742294000000,1557426181905000000,1557428742294000000,1557426181905000000,1557428742294000000,5,0,4096,3
10,7,256,1557405867166000000,1557405867166000000,1557405867166000000,1557405867166000000,1557405867166000000,1557405867166000000,5,0,4096,3
11,31,274,1558050632795000000,1558054584564000000,1558050632795000000,1558054584564000000,1558050632795000000,1558054584564000000,5,0,4096,3
12,238,295,1557402225964000000,1557402255982000000,1557402225964000000,1557402255982000000,1557402225964000000,1557402255982000000,5,0,4096,3
13,242,313,1557300792705000000,1557310962685000000,1557300792705000000,1557310962685000000,1557300792705000000,1557310962685000000,5,0,4096,3
14,243,314,1557274039420000000,1557274039454000000,1557274039420000000,1557274039454000000,1557274039420000000,1557274039454000000,5,0,4096,3
15,243,315,1557274039389000000,1557274039389000000,1557274039389000000,1557274039389000000,1557274039389000000,1557274039389000000,5,0,8192,3
