,u,v,EVENT_START,EVENT_END,TIME_START,TIME_END,EVENT_START_STR,EVENT_END_STR,_label,IS_ALERT,ACCESS_AMOUNT,OPTYPE
0,2,17,1557435096261000000,0,1557435096261000000,1557435096261000000,1557435096261000000,0,5,0,662,2
1,2,12,1557435090818000000,0,1557435090818000000,1557435127916000000,1557435090818000000,0,5,0,1,2
2,2,11,1557435094660000000,0,1557435094660000000,1557435094660000000,1557435094660000000,0,5,0,344,2
3,2,11,1557435094940000000,0,1557435094940000000,1557435094940000000,1557435094940000000,0,5,0,334,2
4,2,11,1557435093856000000,0,1557435093856000000,1557435093856000000,1557435093856000000,0,5,0,341,2
5,2,11,1557435098836000000,0,1557435098836000000,1557435098836000000,1557435098836000000,0,5,0,505,2
6,2,11,1557435094123000000,0,1557435094123000000,1557435094123000000,1557435094123000000,0,5,0,325,2
7,2,11,1557435095794000000,0,1557435095794000000,1557435095794000000,1557435095794000000,0,5,0,384,2
8,2,11,1557435094457000000,0,1557435094457000000,1557435094457000000,1557435094457000000,0,5,0,332,2
9,2,11,1557435093940000000,0,1557435093940000000,1557435093940000000,1557435093940000000,0,5,0,336,2
10,2,11,1557435094552000000,0,1557435094552000000,1557435094552000000,1557435094552000000,0,5,0,324,2
11,2,11,1557435094345000000,0,1557435094345000000,1557435094345000000,1557435094345000000,0,5,0,323,2
12,2,11,1557435093808000000,0,1557435093808000000,1557435093808000000,1557435093808000000,0,5,0,340,2
13,2,11,1557435095050000000,0,1557435095050000000,1557435095050000000,1557435095050000000,0,5,0,340,2
14,2,11,1557435093948000000,0,1557435093948000000,1557435093948000000,1557435093948000000,0,5,0,335,2
15,2,11,1557435093826000000,0,1557435093826000000,1557435093826000000,1557435093826000000,0,5,0,326,2
16,2,11,1557435094851000000,0,1557435094851000000,1557435094851000000,1557435094851000000,0,5,0,320,2
17,2,11,1557435094663000000,0,1557435094663000000,1557435094663000000,1557435094663000000,0,5,0,312,2
18,2,11,1557435094759000000,0,1557435094759000000,1557435094759000000,1557435094759000000,0,5,0,318,2
19,2,11,1557435095193000000,0,1557435095193000000,1557435095193000000,1557435095193000000,0,5,0,323,2
20,2,11,1557435095502000000,0,1557435095502000000,1557435095502000000,1557435095502000000,0,5,0,413,2
21,2,11,1557435094647000000,0,1557435094647000000,1557435094647000000,1557435094647000000,0,5,0,335,2
22,2,11,1557435095169000000,0,1557435095169000000,1557435095169000000,1557435095169000000,0,5,0,330,2
23,2,11,1557435095227000000,0,1557435095227000000,1557435095227000000,1557435095227000000,0,5,0,320,2
24,2,11,1557435094658000000,0,1557435094658000000,1557435094658000000,1557435094658000000,0,5,0,345,2
25,2,11,1557435094381000000,0,1557435094381000000,1557435094381000000,1557435094381000000,0,5,0,320,2
26,2,11,1557435095311000000,0,1557435095311000000,1557435095311000000,1557435095311000000,0,5,0,332,2
27,2,11,1557435095282000000,0,1557435095282000000,1557435095282000000,1557435095282000000,0,5,0,327,2
28,2,11,1557435094434000000,0,1557435094434000000,1557435094434000000,1557435094434000000,0,5,0,320,2
29,2,11,1557435095043000000,0,1557435095043000000,1557435095043000000,1557435095043000000,0,5,0,352,2
30,2,11,1557435093930000000,0,1557435093930000000,1557435093930000000,1557435093930000000,0,5,0,340,2
31,2,11,1557435094550000000,0,1557435094550000000,1557435094550000000,1557435094550000000,0,5,0,325,2
32,2,11,1557435094737000000,0,1557435094737000000,1557435094737000000,1557435094737000000,0,5,0,354,2
33,2,11,1557435095114000000,0,1557435095114000000,1557435095114000000,1557435095114000000,0,5,0,325,2
34,2,11,1557435095157000000,0,1557435095157000000,1557435095157000000,1557435095157000000,0,5,0,327,2
35,2,11,1557435094897000000,0,1557435094897000000,1557435094897000000,1557435094897000000,0,5,0,318,2
36,2,11,1557435095076000000,0,1557435095076000000,1557435095076000000,1557435095076000000,0,5,0,325,2
37,2,11,1557435093953000000,0,1557435093953000000,1557435093953000000,1557435093953000000,0,5,0,335,2
