,u,v,EVENT_START,EVENT_END,TIME_START,TIME_END,EVENT_START_STR,EVENT_END_STR,_label,IS_ALERT,ACCESS_AMOUNT,OPTYPE
0,2,0,1557327507580000000,1557327507582000000,1557327507580000000,1557327507582000000,1557327507580000000,1557327507582000000,4,0,1460,2
1,2,0,1557327507566000000,1557327507566000000,1557327507566000000,1557327507566000000,1557327507566000000,1557327507566000000,4,0,283,2
2,2,0,1557327507554000000,1557327507555000000,1557327507554000000,1557327507555000000,1557327507554000000,1557327507555000000,4,0,500,2
3,2,0,1557327507492000000,1557327507493000000,1557327507492000000,1557327507493000000,1557327507492000000,1557327507493000000,4,0,283,2
4,2,1,1557340283136000000,1557340283144000000,1557340283136000000,1557340283144000000,1557340283136000000,1557340283144000000,4,0,1460,2
5,2,2,1557433375475000000,1557433375477000000,1557433375475000000,1557433375477000000,1557433375475000000,1557433375477000000,4,0,1460,2
6,2,2,1557433375465000000,1557433375466000000,1557433375465000000,1557433375466000000,1557433375465000000,1557433375466000000,4,0,0,2
7,2,3,1557434358124000000,1557434358124000000,1557434358124000000,1557434358124000000,1557434358124000000,1557434358124000000,4,0,518,2
8,2,3,1557434355076000000,1557434355078000000,1557434355076000000,1557434355078000000,1557434355076000000,1557434355078000000,4,0,0,2
9,2,3,1557434355083000000,1557434355085000000,1557434355083000000,1557434355085000000,1557434355083000000,1557434355085000000,4,0,0,2
10,2,3,1557434355067000000,1557434355069000000,1557434355067000000,1557434355069000000,1557434355067000000,1557434355069000000,4,0,543,2
11,2,3,1557434358115000000,1557434358115000000,1557434358115000000,1557434358115000000,1557434358115000000,1557434358115000000,4,0,223,2
12,2,3,1557434355089000000,1557434355091000000,1557434355089000000,1557434355091000000,1557434355089000000,1557434355091000000,4,0,0,2
13,2,3,1557434355095000000,1557434355096000000,1557434355095000000,1557434355096000000,1557434355095000000,1557434355096000000,4,0,0,2
14,2,4,1557425386769000000,1557425499542000000,1557425386769000000,1557425499542000000,1557425386769000000,1557425499542000000,4,0,408,2
15,2,5,1557327569579000000,1557327709542000000,1557327569579000000,1557327709542000000,1557327569579000000,1557327709542000000,4,0,270,2
16,2,5,1557327838891000000,1557327929542000000,1557327838891000000,1557327929542000000,1557327838891000000,1557327929542000000,4,0,270,2
17,2,5,1557327507669000000,1557327569569000000,1557327507669000000,1557327569569000000,1557327507669000000,1557327569569000000,4,0,270,2
18,2,6,1557435090411000000,1557435090414000000,1557435090411000000,1557435090414000000,1557435090411000000,1557435090414000000,4,0,1460,2
19,2,7,1557425386926000000,1557425499542000000,1557425386926000000,1557425499542000000,1557425386926000000,1557425499542000000,4,0,354,2
20,2,7,1557425386938000000,1557425386939000000,1557425386938000000,1557425386939000000,1557425386938000000,1557425386939000000,4,0,679,2
21,2,8,1557327159561000000,1557327269542000000,1557327159561000000,1557327269542000000,1557327159561000000,1557327269542000000,4,0,471,2
22,2,8,1557327159731000000,1557327159733000000,1557327159731000000,1557327159733000000,1557327159731000000,1557327159733000000,4,0,576,2
23,2,9,1557435090548000000,1557435090548000000,1557435090548000000,1557435090548000000,1557435090548000000,1557435090548000000,4,0,24,2
24,2,10,1557435495390000000,1557435495397000000,1557435495390000000,1557435495397000000,1557435495390000000,1557435495397000000,4,0,1460,2
25,2,11,1557340283037000000,1557340283038000000,1557340283037000000,1557340283038000000,1557340283037000000,1557340283038000000,4,0,295,2
26,2,12,1557425386887000000,1557425386891000000,1557425386887000000,1557425386891000000,1557425386887000000,1557425386891000000,4,0,1460,2
27,2,12,1557425386878000000,1557425386878000000,1557425386878000000,1557425386878000000,1557425386878000000,1557425386878000000,4,0,121,2
28,2,12,1557425386855000000,1557425499542000000,1557425386855000000,1557425499542000000,1557425386855000000,1557425499542000000,4,0,268,2
29,2,13,1557435495082000000,1557435495093000000,1557435495082000000,1557435495093000000,1557435495082000000,1557435495093000000,4,0,483,2
30,2,13,1557435495128000000,1557435495133000000,1557435495128000000,1557435495133000000,1557435495128000000,1557435495133000000,4,0,1460,2
31,2,13,1557435495122000000,1557435495122000000,1557435495122000000,1557435495122000000,1557435495122000000,1557435495122000000,4,0,483,2
32,2,14,1557327507607000000,1557327599543000000,1557327507607000000,1557327599543000000,1557327507607000000,1557327599543000000,4,0,171,2
33,2,15,1557331852214000000,1557331852215000000,1557331852214000000,1557331852215000000,1557331852214000000,1557331852215000000,4,0,262,2
34,2,15,1557331852114000000,1557331999542000000,1557331852114000000,1557331999542000000,1557331852114000000,1557331999542000000,4,0,262,2
35,2,16,1557329623068000000,1557329623068000000,1557329623068000000,1557329623068000000,1557329623068000000,1557329623068000000,4,0,179,2
36,2,16,1557329623052000000,1557329689543000000,1557329623052000000,1557329689543000000,1557329623052000000,1557329689543000000,4,0,448,2
37,2,17,1557434355007000000,1557434519542000000,1557434355007000000,1557434519542000000,1557434355007000000,1557434519542000000,4,0,398,2
38,2,18,1557435495456000000,1557435495490000000,1557435495456000000,1557435495490000000,1557435495456000000,1557435495490000000,4,0,1460,2
