,u,v,EVENT_START,EVENT_END,TIME_START,TIME_END,EVENT_START_STR,EVENT_END_STR,_label,IS_ALERT,OPTYPE,REL_TIME_START,REL_TIME_END
0,0,1,1558024860740000000,1558024860740000000,1558024860740000000,1558024860740000000,1558024860740000000,1558024860740000000,0,0,0,0,0
1,3,2,1558024860895000000,1558024860895000000,1558024860895000000,1558024860895000000,1558024860895000000,1558024860895000000,0,0,0,-155000000,-155000000
2,1,3,1558024860876000000,1558024860876000000,1558024860876000000,1558024860876000000,1558024860876000000,1558024860876000000,0,0,0,-136000000,-136000000
3,2,4,1558024860915000000,1558024860915000000,1558024860915000000,1558024860915000000,1558024860915000000,1558024860915000000,0,0,0,-175000000,-175000000
4,3,5,1558024861176000000,1558024861176000000,1558024861176000000,1558024861176000000,1558024861176000000,1558024861176000000,0,0,0,-436000000,-436000000
5,5,6,1558024861199000000,1558024861199000000,1558024861199000000,1558024861199000000,1558024861199000000,1558024861199000000,0,0,0,-459000000,-459000000
6,158,0,1557952847671000000,1557952847671000000,1557952847671000000,1557952847671000000,1557952847671000000,1557952847671000000,0,0,0,72013069000000,72013069000000
7,22,206,1557441601049000000,1557441601049000000,1557441601049000000,1557441601049000000,1557441601049000000,1557441601049000000,0,0,0,-200175924000000,-200175924000000
8,41,208,1557675505130000000,1557675505130000000,1557675505130000000,1557675505130000000,1557675505130000000,1557675505130000000,0,0,0,-434080047000000,-434080047000000
9,61,209,1557739160139000000,1557739160139000000,1557739160139000000,1557739160139000000,1557739160139000000,1557739160139000000,0,0,0,-497735014000000,-497735014000000
10,0,212,1557327305152000000,1557327305152000000,1557327305152000000,1557327305152000000,1557327305152000000,1557327305152000000,0,0,0,-85880027000000,-85880027000000
11,0,214,1557756844115000000,1557756844115000000,1557756844115000000,1557756844115000000,1557756844115000000,1557756844115000000,0,0,0,-2637187000000,-2637187000000
12,0,217,1557760974328000000,1557760974328000000,1557760974328000000,1557760974328000000,1557760974328000000,1557760974328000000,0,0,0,-520977027000000,-520977027000000
13,0,218,1558108790802000000,1558108790802000000,1558108790802000000,1558108790802000000,1558108790802000000,1558108790802000000,0,0,0,-82682329000000,-82682329000000
14,0,219,1557739159820000000,1557739159820000000,1557739159820000000,1557739159820000000,1557739159820000000,1557739159820000000,0,0,0,-497734695000000,-497734695000000
15,0,226,1558054266118000000,1558054266118000000,1558054266118000000,1558054266118000000,1558054266118000000,1558054266118000000,0,0,0,-28157591000000,-28157591000000
16,0,229,1558039954718000000,1558039954718000000,1558039954718000000,1558039954718000000,1558039954718000000,1558039954718000000,0,0,0,-13846191000000,-13846191000000
17,0,233,1557441600734000000,1557441600734000000,1557441600734000000,1557441600734000000,1557441600734000000,1557441600734000000,0,0,0,-200175609000000,-200175609000000
18,0,235,1558119367425000000,1558119367425000000,1558119367425000000,1558119367425000000,1558119367425000000,1558119367425000000,0,0,0,-93258898000000,-93258898000000
