,u,v,EVENT_START,EVENT_END,TIME_START,TIME_END,EVENT_START_STR,EVENT_END_STR,_label,IS_ALERT,OPTYPE,REL_TIME_START,REL_TIME_END
0,249,195,0,0,0,0,0,0,3,0,0,0,0
1,250,196,0,0,0,0,0,0,3,0,0,0,0
2,251,196,0,0,0,0,0,0,3,0,0,0,0
3,252,196,0,0,0,0,0,0,3,0,0,0,0
4,253,196,0,0,0,0,0,0,3,0,0,0,0
5,255,205,0,0,0,0,0,0,3,0,0,0,0
6,256,210,0,0,0,0,0,0,3,0,0,0,0
7,257,37,0,0,0,0,0,0,3,0,0,0,0
8,259,83,0,0,0,0,0,0,3,0,0,0,0
9,260,85,0,0,0,0,0,0,3,0,0,0,0
10,263,85,0,0,0,0,0,0,3,0,0,0,0
11,264,85,0,0,0,0,0,0,3,0,0,0,0
12,266,85,0,0,0,0,0,0,3,0,0,0,0
13,267,85,0,0,0,0,0,0,3,0,0,0,0
14,268,85,0,0,0,0,0,0,3,0,0,0,0
15,270,85,0,0,0,0,0,0,3,0,0,0,0
16,272,85,0,0,0,0,0,0,3,0,0,0,0
17,273,85,0,0,0,0,0,0,3,0,0,0,0
18,274,85,0,0,0,0,0,0,3,0,0,0,0
19,275,85,0,0,0,0,0,0,3,0,0,0,0
20,276,85,0,0,0,0,0,0,3,0,0,0,0
21,277,85,0,0,0,0,0,0,3,0,0,0,0
22,278,85,0,0,0,0,0,0,3,0,0,0,0
23,280,85,0,0,0,0,0,0,3,0,0,0,0
24,281,85,0,0,0,0,0,0,3,0,0,0,0
25,282,85,0,0,0,0,0,0,3,0,0,0,0
26,283,85,0,0,0,0,0,0,3,0,0,0,0
27,284,102,0,0,0,0,0,0,3,0,0,0,0
28,287,104,0,0,0,0,0,0,3,0,0,0,0
29,289,126,0,0,0,0,0,0,3,0,0,0,0
30,290,135,0,0,0,0,0,0,3,0,0,0,0
31,291,137,0,0,0,0,0,0,3,0,0,0,0
32,294,183,0,0,0,0,0,0,3,0,0,0,0
33,295,185,0,0,0,0,0,0,3,0,0,0,0
34,297,93,0,0,0,0,0,0,3,0,0,0,0
35,299,18,0,0,0,0,0,0,3,0,0,0,0
36,300,94,0,0,0,0,0,0,3,0,0,0,0
37,301,199,0,0,0,0,0,0,3,0,0,0,0
38,302,209,0,0,0,0,0,0,3,0,0,0,0
39,305,44,0,0,0,0,0,0,3,0,0,0,0
40,306,44,0,0,0,0,0,0,3,0,0,0,0
41,307,156,0,0,0,0,0,0,3,0,0,0,0
42,308,156,0,0,0,0,0,0,3,0,0,0,0
43,309,156,0,0,0,0,0,0,3,0,0,0,0
44,310,156,0,0,0,0,0,0,3,0,0,0,0
45,311,156,0,0,0,0,0,0,3,0,0,0,0
46,312,156,0,0,0,0,0,0,3,0,0,0,0
47,313,156,0,0,0,0,0,0,3,0,0,0,0
48,315,156,0,0,0,0,0,0,3,0,0,0,0
49,319,156,0,0,0,0,0,0,3,0,0,0,0
50,320,156,0,0,0,0,0,0,3,0,0,0,0
51,322,156,0,0,0,0,0,0,3,0,0,0,0
52,323,156,0,0,0,0,0,0,3,0,0,0,0
53,324,156,0,0,0,0,0,0,3,0,0,0,0
54,325,171,0,0,0,0,0,0,3,0,0,0,0
