,u,v,EVENT_START,EVENT_END,TIME_START,TIME_END,EVENT_START_STR,EVENT_END_STR,_label,IS_ALERT,ACCESS_AMOUNT,OPTYPE
0,55,893,1558102118679000000,0,1558102118679000000,1558102118679000000,1558102118679000000,0,5,0,654,2
1,59,372,1558023295195000000,0,1558023295195000000,1558023295199000000,1558023295195000000,0,5,0,122,2
2,7,371,1557946072184000000,0,1557946072184000000,1557946072184000000,1557946072184000000,0,5,0,468,2
3,59,370,1557960295607000000,0,1557960295607000000,1557960295607000000,1557960295607000000,0,5,0,123,2
4,24,830,1558104787871000000,0,1558104787871000000,1558104787871000000,1558104787871000000,0,5,0,654,2
5,7,369,1557946071853000000,0,1557946071853000000,1557946071853000000,1557946071853000000,0,5,0,545,2
6,24,829,1558110482057000000,0,1558110482057000000,1558110482057000000,1558110482057000000,0,5,0,654,2
7,59,368,1557951237648000000,0,1557951237648000000,1557951237648000000,1557951237648000000,0,5,0,254,2
8,1,745,1558011839520000000,0,1558011839520000000,1558011839520000000,1558011839520000000,0,5,0,486,2
9,7,367,1557946071353000000,0,1557946071353000000,1557946071353000000,1557946071353000000,0,5,0,518,2
10,9,556,1557951346113000000,0,1557951346113000000,1557951346113000000,1557951346113000000,0,5,0,324,2
11,11,744,1558042396743000000,0,1558042396743000000,1558042396743000000,1558042396743000000,0,5,0,328,2
12,59,365,1558105812321000000,0,1558105812321000000,1558105812321000000,1558105812321000000,0,5,0,266,2
13,61,574,1558045320490000000,0,1558045320490000000,1558045320490000000,1558045320490000000,0,5,0,308,2
14,24,799,1558109805128000000,0,1558109805128000000,1558109805128000000,1558109805128000000,0,5,0,654,2
15,7,364,1557946072162000000,0,1557946072162000000,1557946072162000000,1557946072162000000,0,5,0,394,2
16,46,573,1558025292083000000,0,1558025292083000000,1558025292083000000,1558025292083000000,0,5,0,418,2
17,1,828,1558015832864000000,0,1558015832864000000,1558015832864000000,1558015832864000000,0,5,0,297,2
18,20,377,1557951505404000000,0,1557951505404000000,1557951505404000000,1557951505404000000,0,5,0,328,2
19,56,572,1558101972588000000,0,1558101972588000000,1558101972588000000,1558101972588000000,0,5,0,654,2
20,11,827,1558039811365000000,0,1558039811365000000,1558039811365000000,1558039811365000000,0,5,0,751,2
21,59,363,1557960295837000000,0,1557960295837000000,1557960295837000000,1557960295837000000,0,5,0,128,2
22,46,570,1558030404056000000,0,1558030404056000000,1558030404056000000,1558030404056000000,0,5,0,397,2
23,7,362,1557946071668000000,0,1557946071668000000,1557946071668000000,1557946071668000000,0,5,0,537,2
24,56,568,1558101916933000000,0,1558101916933000000,1558101916933000000,1558101916933000000,0,5,0,589,2
25,24,832,1558108146839000000,0,1558108146839000000,1558108146839000000,1558108146839000000,0,5,0,349,2
26,24,831,1558107999356000000,0,1558107999356000000,1558107999356000000,1558107999356000000,0,5,0,654,2
27,15,876,1558021844283000000,0,1558021844283000000,1558021844283000000,1558021844283000000,0,5,0,315,2
28,7,607,1557946072331000000,0,1557946072331000000,1557946072331000000,1557946072331000000,0,5,0,325,2
29,11,875,1558039851616000000,0,1558039851616000000,1558039851616000000,1558039851616000000,0,5,0,354,2
30,59,604,1558112425627000000,0,1558112425627000000,1558112425627000000,1558112425627000000,0,5,0,267,2
31,7,602,1557946072018000000,0,1557946072018000000,1557946072018000000,1557946072018000000,0,5,0,538,2
32,59,376,1558045317554000000,0,1558045317554000000,1558045396780000000,1558045317554000000,0,5,0,135,2
33,11,872,1558042396873000000,0,1558042396873000000,1558042396873000000,1558042396873000000,0,5,0,333,2
