,u,v,EVENT_START,EVENT_END,TIME_START,TIME_END,EVENT_START_STR,EVENT_END_STR,_label,IS_ALERT,OPTYPE,REL_TIME_START,REL_TIME_END
0,66,95,1558123945248000000,1558123945248000000,1558123945248000000,1558123945248000000,1558123945248000000,1558123945248000000,0,0,0,132000000,132000000
1,93,88,1558032053078000000,1558032053078000000,1558032053078000000,1558032053078000000,1558032053078000000,1558032053078000000,0,0,0,91892302000000,91892302000000
2,93,52,1558005627287000000,1558005627287000000,1558005627287000000,1558005627287000000,1558005627287000000,1558005627287000000,0,0,0,118318093000000,118318093000000
3,2,1,1558123955337000000,1558123955337000000,1558123955337000000,1558123955337000000,1558123955337000000,1558123955337000000,0,0,0,-9957000000,-9957000000
4,0,2,1558123945380000000,1558123945380000000,1558123945380000000,1558123945380000000,1558123945380000000,1558123945380000000,0,0,0,0,0
5,2,3,1558123964543000000,1558123964543000000,1558123964543000000,1558123964543000000,1558123964543000000,1558123964543000000,0,0,0,-19163000000,-19163000000
6,2,4,1558124056372000000,1558124056372000000,1558124056372000000,1558124056372000000,1558124056372000000,1558124056372000000,0,0,0,-110992000000,-110992000000
7,2,5,1558123998719000000,1558123998719000000,1558123998719000000,1558123998719000000,1558123998719000000,1558123998719000000,0,0,0,-53339000000,-53339000000
8,2,6,1558123945533000000,1558123945533000000,1558123945533000000,1558123945533000000,1558123945533000000,1558123945533000000,0,0,0,-153000000,-153000000
9,2,7,1558123956751000000,1558123956751000000,1558123956751000000,1558123956751000000,1558123956751000000,1558123956751000000,0,0,0,-11371000000,-11371000000
10,79,10,1558041876633000000,1558041876633000000,1558041876633000000,1558041876633000000,1558041876633000000,1558041876633000000,0,0,0,82068747000000,82068747000000
11,94,9,1558033494611000000,1558033494611000000,1558033494611000000,1558033494611000000,1558033494611000000,1558033494611000000,0,0,0,90450769000000,90450769000000
12,95,0,1558123945351000000,1558123945351000000,1558123945351000000,1558123945351000000,1558123945351000000,1558123945351000000,0,0,0,29000000,29000000
