,u,v,EVENT_START,EVENT_END,TIME_START,TIME_END,EVENT_START_STR,EVENT_END_STR,_label,IS_ALERT,ACCESS_AMOUNT,OPTYPE
0,48,283,1558024872387000000,1558024872388000000,1558024872387000000,1558024872388000000,1558024872387000000,1558024872388000000,5,0,4096,3
1,47,283,1558040803772000000,1558040803792000000,1558040803772000000,1558040803792000000,1558040803772000000,1558040803792000000,5,0,4096,3
2,45,283,1558045819603000000,1558052201739000000,1558045819603000000,1558052201739000000,1558045819603000000,1558052201739000000,5,0,4096,3
3,50,283,1557950705042000000,1557950803673000000,1557950705042000000,1557950803673000000,1557950705042000000,1557950803673000000,5,0,4096,3
4,49,283,1558119513103000000,1558119688593000000,1558119513103000000,1558119688593000000,1558119513103000000,1558119688593000000,5,0,4096,3
5,52,283,1558050082320000000,1558050082320000000,1558050082320000000,1558050082320000000,1558050082320000000,1558050082320000000,5,0,65536,3
6,51,283,1558049722704000000,1558054339468000000,1558049722704000000,1558054339468000000,1558049722704000000,1558054339468000000,5,0,4096,3
7,55,283,1557968436887000000,1557968436887000000,1557968436887000000,1557968436887000000,1557968436887000000,1557968436887000000,5,0,4096,3
8,54,283,1558022398506000000,1558023855450000000,1558022398506000000,1558023855450000000,1558022398506000000,1558023855450000000,5,0,4096,3
9,53,283,1558001347926000000,1558001347927000000,1558001347926000000,1558001347927000000,1558001347926000000,1558001347927000000,5,0,8192,3
10,59,283,1558015486581000000,1558019507119000000,1558015486581000000,1558019507119000000,1558015486581000000,1558019507119000000,5,0,4096,3
11,58,283,1558048212901000000,1558048212901000000,1558048212901000000,1558048212901000000,1558048212901000000,1558048212901000000,5,0,12288,3
12,57,275,1558033494636000000,1558033494636000000,1558033494636000000,1558033494636000000,1558033494636000000,1558033494636000000,5,0,86528,3
13,56,275,1558033779344000000,1558033779344000000,1558033779344000000,1558033779344000000,1558033779344000000,1558033779344000000,5,0,221184,3
14,63,283,1558042032197000000,1558042032198000000,1558042032197000000,1558042032198000000,1558042032197000000,1558042032198000000,5,0,4096,3
15,62,283,1557988317120000000,1557988317120000000,1557988317120000000,1557988317120000000,1557988317120000000,1557988317120000000,5,0,69632,3
16,61,283,1557958878319000000,1557958878320000000,1557958878319000000,1557958878320000000,1557958878319000000,1557958878320000000,5,0,4096,3
17,60,283,1557958613015000000,1557965146625000000,1557958613015000000,1557965146625000000,1557958613015000000,1557965146625000000,5,0,8192,3
18,64,283,1557960429732000000,1557960429732000000,1557960429732000000,1557960429732000000,1557960429732000000,1557960429732000000,5,0,4096,3
19,70,283,1558025087778000000,1558028496613000000,1558025087778000000,1558028496613000000,1558025087778000000,1558028496613000000,5,0,4096,3
20,69,283,1558038884694000000,1558038884695000000,1558038884694000000,1558038884695000000,1558038884694000000,1558038884695000000,5,0,4096,3
21,68,283,1558039658713000000,1558039658713000000,1558039658713000000,1558039658713000000,1558039658713000000,1558039658713000000,5,0,4096,3
22,67,283,1557917135363000000,1557917135363000000,1557917135363000000,1557917135363000000,1557917135363000000,1557917135363000000,5,0,61440,3
23,66,283,1558040563532000000,1558040563532000000,1558040563532000000,1558040563532000000,1558040563532000000,1558040563532000000,5,0,4096,3
24,65,283,1557914712779000000,1557914712779000000,1557914712779000000,1557914712779000000,1557914712779000000,1557914712779000000,5,0,61440,3
25,71,283,1557949609621000000,1557949609621000000,1557949609621000000,1557949609621000000,1557949609621000000,1557949609621000000,5,0,61440,3
26,74,283,1558116407339000000,1558116407339000000,1558116407339000000,1558116407339000000,1558116407339000000,1558116407339000000,5,0,77824,3
