,u,v,EVENT_START,EVENT_END,TIME_START,TIME_END,EVENT_START_STR,EVENT_END_STR,_label,IS_ALERT,OPTYPE,REL_TIME_START,REL_TIME_END
0,128,42,1557270725844000000,1557270725844000000,1557270725844000000,1557270725844000000,1557270725844000000,1557270725844000000,0,0,0,164069529000000,164069529000000
1,150,162,1557434796742000000,1557434796742000000,1557434796742000000,1557434796742000000,1557434796742000000,1557434796742000000,0,0,0,-1369000000,-1369000000
2,150,163,1557434920249000000,1557434920249000000,1557434920249000000,1557434920249000000,1557434920249000000,1557434920249000000,0,0,0,-124876000000,-124876000000
3,150,164,1557434795754000000,1557434795754000000,1557434795754000000,1557434795754000000,1557434795754000000,1557434795754000000,0,0,0,-381000000,-381000000
4,150,0,1557434796684000000,1557434796684000000,1557434796684000000,1557434796684000000,1557434796684000000,1557434796684000000,0,0,0,-1311000000,-1311000000
5,150,1,1557434796710000000,1557434796710000000,1557434796710000000,1557434796710000000,1557434796710000000,1557434796710000000,0,0,0,-1337000000,-1337000000
6,150,2,1557434795754000000,1557434795754000000,1557434795754000000,1557434795754000000,1557434795754000000,1557434795754000000,0,0,0,-381000000,-381000000
7,150,3,1557434795603000000,1557434795603000000,1557434795603000000,1557434795603000000,1557434795603000000,1557434795603000000,0,0,0,-230000000,-230000000
8,150,4,1557434796525000000,1557434796525000000,1557434796525000000,1557434796525000000,1557434796525000000,1557434796525000000,0,0,0,-1152000000,-1152000000
9,150,6,1557434796961000000,1557434796961000000,1557434796961000000,1557434796961000000,1557434796961000000,1557434796961000000,0,0,0,-1588000000,-1588000000
10,150,5,1557434795921000000,1557434795921000000,1557434795921000000,1557434795921000000,1557434795921000000,1557434795921000000,0,0,0,-548000000,-548000000
11,150,7,1557434797468000000,1557434797468000000,1557434797468000000,1557434797468000000,1557434797468000000,1557434797468000000,0,0,0,-2095000000,-2095000000
12,150,10,1557434795754000000,1557434795754000000,1557434795754000000,1557434795754000000,1557434795754000000,1557434795754000000,0,0,0,-381000000,-381000000
13,150,8,1557434795754000000,1557434795754000000,1557434795754000000,1557434795754000000,1557434795754000000,1557434795754000000,0,0,0,-381000000,-381000000
14,150,130,1557434795754000000,1557434795754000000,1557434795754000000,1557434795754000000,1557434795754000000,1557434795754000000,0,0,0,-381000000,-381000000
15,135,131,1557434795891000000,1557434795891000000,1557434795891000000,1557434795891000000,1557434795891000000,1557434795891000000,0,0,0,-518000000,-518000000
16,150,158,1557434796688000000,1557434796688000000,1557434796688000000,1557434796688000000,1557434796688000000,1557434796688000000,0,0,0,-1315000000,-1315000000
17,150,132,1557434797491000000,1557434797491000000,1557434797491000000,1557434797491000000,1557434797491000000,1557434797491000000,0,0,0,-2118000000,-2118000000
18,150,133,1557434920246000000,1557434920246000000,1557434920246000000,1557434920246000000,1557434920246000000,1557434920246000000,0,0,0,-124873000000,-124873000000
19,150,134,1557434795921000000,1557434795921000000,1557434795921000000,1557434795921000000,1557434795921000000,1557434795921000000,0,0,0,-548000000,-548000000
20,150,135,1557434795755000000,1557434795755000000,1557434795755000000,1557434795755000000,1557434795755000000,1557434795755000000,0,0,0,-382000000,-382000000
21,150,136,1557434797420000000,1557434797420000000,1557434797420000000,1557434797420000000,1557434797420000000,1557434797420000000,0,0,0,-2047000000,-2047000000
22,150,137,1557434797537000000,1557434797537000000,1557434797537000000,1557434797537000000,1557434797537000000,1557434797537000000,0,0,0,-2164000000,-2164000000
23,150,138,1557434796672000000,1557434796672000000,1557434796672000000,1557434796672000000,1557434796672000000,1557434796672000000,0,0,0,-1299000000,-1299000000
24,150,139,1557434798735000000,1557434798735000000,1557434798735000000,1557434798735000000,1557434798735000000,1557434798735000000,0,0,0,-3362000000,-3362000000
25,150,143,1557434797521000000,1557434797521000000,1557434797521000000,1557434797521000000,1557434797521000000,1557434797521000000,0,0,0,-2148000000,-2148000000
26,150,144,1557434795754000000,1557434795754000000,1557434795754000000,1557434795754000000,1557434795754000000,1557434795754000000,0,0,0,-381000000,-381000000
27,150,146,1557434795482000000,1557434795482000000,1557434795482000000,1557434795482000000,1557434795482000000,1557434795482000000,0,0,0,-109000000,-109000000
28,149,150,1557434795373000000,1557434795373000000,1557434795373000000,1557434795373000000,1557434795373000000,1557434795373000000,0,0,0,0,0
29,150,151,1557434916666000000,1557434916666000000,1557434916666000000,1557434916666000000,1557434916666000000,1557434916666000000,0,0,0,-121293000000,-121293000000
30,150,152,1557434795754000000,1557434795754000000,1557434795754000000,1557434795754000000,1557434795754000000,1557434795754000000,0,0,0,-381000000,-381000000
31,150,157,1557434796793000000,1557434796793000000,1557434796793000000,1557434796793000000,1557434796793000000,1557434796793000000,0,0,0,-1420000000,-1420000000
32,150,145,1557434798759000000,1557434798759000000,1557434798759000000,1557434798759000000,1557434798759000000,1557434798759000000,0,0,0,-3386000000,-3386000000
33,150,147,1557434797531000000,1557434797531000000,1557434797531000000,1557434797531000000,1557434797531000000,1557434797531000000,0,0,0,-2158000000,-2158000000
34,150,159,1557434920229000000,1557434920229000000,1557434920229000000,1557434920229000000,1557434920229000000,1557434920229000000,0,0,0,-124856000000,-124856000000
35,150,148,1557434797493000000,1557434797493000000,1557434797493000000,1557434797493000000,1557434797493000000,1557434797493000000,0,0,0,-2120000000,-2120000000
36,150,160,1557434950471000000,1557434950471000000,1557434950471000000,1557434950471000000,1557434950471000000,1557434950471000000,0,0,0,-155098000000,-155098000000
37,150,161,1557434796379000000,1557434796379000000,1557434796379000000,1557434796379000000,1557434796379000000,1557434796379000000,0,0,0,-1006000000,-1006000000
38,174,149,1557434794073000000,1557434794073000000,1557434794073000000,1557434794073000000,1557434794073000000,1557434794073000000,0,0,0,1300000000,1300000000
39,122,174,1557434793839000000,1557434793839000000,1557434793839000000,1557434793839000000,1557434793839000000,1557434793839000000,0,0,0,1534000000,1534000000
