,u,v,EVENT_START,EVENT_END,TIME_START,TIME_END,EVENT_START_STR,EVENT_END_STR,_label,IS_ALERT,ACCESS_AMOUNT,OPTYPE
0,30,331,1557427908802000000,1557427908803000000,1557427908802000000,1557427908803000000,1557427908802000000,1557427908803000000,5,0,4096,3
1,20,331,1557270736235000000,1557270736235000000,1557270736235000000,1557270736235000000,1557270736235000000,1557270736235000000,5,0,4096,3
2,28,331,1557416745310000000,1557418273404000000,1557416745310000000,1557418273404000000,1557416745310000000,1557418273404000000,5,0,4096,3
3,25,331,1557405925952000000,1557411326883000000,1557405925952000000,1557411326883000000,1557405925952000000,1557411326883000000,5,0,4096,3
4,31,331,1557326635277000000,1557328493516000000,1557326635277000000,1557328493516000000,1557326635277000000,1557328493516000000,5,0,4096,3
5,33,331,1557428483998000000,1557428483999000000,1557428483998000000,1557428483999000000,1557428483998000000,1557428483999000000,5,0,4096,3
6,32,331,1557434052804000000,1557434441949000000,1557434052804000000,1557434441949000000,1557434052804000000,1557434441949000000,5,0,8192,3
7,36,331,1557427842606000000,1557433479493000000,1557427842606000000,1557433479493000000,1557427842606000000,1557433479493000000,5,0,4096,3
8,9,331,1557328049240000000,1557340835273000000,1557328049240000000,1557340835273000000,1557328049240000000,1557340835273000000,5,0,4096,3
9,51,331,1557252930634000000,1557252930634000000,1557252930634000000,1557252930634000000,1557252930634000000,1557252930634000000,5,0,4096,3
10,39,331,1557412923934000000,1557416986856000000,1557412923934000000,1557416986856000000,1557412923934000000,1557416986856000000,5,0,4096,3
11,43,331,1557412900428000000,1557412900428000000,1557412900428000000,1557412900428000000,1557412900428000000,1557412900428000000,5,0,4096,3
12,42,331,1557269102190000000,1557269102192000000,1557269102190000000,1557269102192000000,1557269102190000000,1557269102192000000,5,0,4096,3
13,41,331,1557425117780000000,1557425117782000000,1557425117780000000,1557425117782000000,1557425117780000000,1557425117782000000,5,0,4096,3
14,50,331,1557328574774000000,1557331247839000000,1557328574774000000,1557331247839000000,1557328574774000000,1557331247839000000,5,0,8192,3
