,u,v,EVENT_START,EVENT_END,TIME_START,TIME_END,EVENT_START_STR,EVENT_END_STR,_label,IS_ALERT,ACCESS_AMOUNT,OPTYPE
0,6,71,1557435501669000000,0,1557435501669000000,1557435501669000000,1557435501669000000,0,5,0,375,2
1,6,76,1557435502994000000,0,1557435502994000000,1557435502994000000,1557435502994000000,0,5,0,290,2
2,6,73,1557435501475000000,0,1557435501475000000,1557435501475000000,1557435501475000000,0,5,0,371,2
3,6,77,1557435506210000000,0,1557435506210000000,1557435506210000000,1557435506210000000,0,5,0,342,2
4,6,78,1557435502906000000,0,1557435502906000000,1557435502906000000,1557435502906000000,0,5,0,322,2
5,6,79,1557435501683000000,0,1557435501683000000,1557435501683000000,1557435501683000000,0,5,0,375,2
6,6,80,1557435502255000000,0,1557435502255000000,1557435502255000000,1557435502255000000,0,5,0,372,2
7,6,81,1557435503393000000,0,1557435503393000000,1557435503393000000,1557435503393000000,0,5,0,355,2
8,6,82,1557435499892000000,0,1557435499892000000,1557435499892000000,1557435499892000000,0,5,0,413,2
9,6,84,1557435505349000000,0,1557435505349000000,1557435505349000000,1557435505349000000,0,5,0,558,2
10,6,95,1557435502150000000,0,1557435502150000000,1557435502150000000,1557435502150000000,0,5,0,365,2
11,6,96,1557435502319000000,0,1557435502319000000,1557435502319000000,1557435502319000000,0,5,0,372,2
12,6,23,1557435499864000000,0,1557435499864000000,1557435499864000000,1557435499864000000,0,5,0,414,2
13,6,27,1557435505006000000,0,1557435505006000000,1557435505006000000,1557435505006000000,0,5,0,554,2
14,6,91,1557435500881000000,0,1557435500881000000,1557435500881000000,1557435500881000000,0,5,0,369,2
15,6,31,1557435501140000000,0,1557435501140000000,1557435501140000000,1557435501140000000,0,5,0,369,2
16,6,33,1557435499860000000,0,1557435499860000000,1557435499860000000,1557435499860000000,0,5,0,411,2
17,6,35,1557435503898000000,0,1557435503898000000,1557435503898000000,1557435503898000000,0,5,0,558,2
18,6,25,1557435501113000000,0,1557435501113000000,1557435501113000000,1557435501113000000,0,5,0,352,2
19,6,37,1557435502021000000,0,1557435502021000000,1557435502021000000,1557435502021000000,0,5,0,375,2
20,6,39,1557435502623000000,0,1557435502623000000,1557435502623000000,1557435502623000000,0,5,0,322,2
21,6,29,1557435502102000000,0,1557435502102000000,1557435502102000000,1557435502102000000,0,5,0,375,2
