,u,v,EVENT_START,EVENT_END,TIME_START,TIME_END,EVENT_START_STR,EVENT_END_STR,_label,IS_ALERT,ACCESS_AMOUNT,OPTYPE
0,0,92,1557949724958000000,1557949724958000000,1557949724958000000,1557949724958000000,1557949724958000000,1557949724958000000,4,0,0,10
1,0,95,1557949725477000000,1557949725477000000,1557949725477000000,1557949725477000000,1557949725477000000,1557949725477000000,4,0,0,3
2,0,100,1557949725495000000,1557949725495000000,1557949725495000000,1557949725495000000,1557949725495000000,1557949725495000000,4,0,0,3
3,0,103,1557949726052000000,1557949726052000000,1557949726052000000,1557949726052000000,1557949726052000000,1557949726052000000,4,0,0,3
4,0,225,1557949726064000000,1557949726064000000,1557949726064000000,1557949726064000000,1557949726064000000,1557949726064000000,4,0,0,10
5,0,5,1557949726011000000,1557949726024000000,1557949726011000000,1557949726024000000,1557949726011000000,1557949726024000000,4,0,0,3
6,0,4,1557949725012000000,1557949725012000000,1557949725012000000,1557949725012000000,1557949725012000000,1557949725012000000,4,0,0,10
7,0,3,1557949725506000000,1557949725507000000,1557949725506000000,1557949725507000000,1557949725506000000,1557949725507000000,4,0,0,3
8,0,2,1557949724964000000,1557949724964000000,1557949724964000000,1557949724964000000,1557949724964000000,1557949724964000000,4,0,0,3
9,0,237,1557949725150000000,1557949725150000000,1557949725150000000,1557949725150000000,1557949725150000000,1557949725150000000,4,0,0,10
10,0,235,1557949725912000000,1557949725912000000,1557949725912000000,1557949725912000000,1557949725912000000,1557949725912000000,4,0,0,3
11,0,233,1557949725005000000,1557949725005000000,1557949725005000000,1557949725005000000,1557949725005000000,1557949725005000000,4,0,0,10
12,0,230,1557949724955000000,1557949724955000000,1557949724955000000,1557949724955000000,1557949724955000000,1557949724955000000,4,0,0,10
13,0,112,1557949725019000000,1557949725459000000,1557949725019000000,1557949725459000000,1557949725019000000,1557949725459000000,4,0,0,3
14,0,116,1557949725007000000,1557949725007000000,1557949725007000000,1557949725007000000,1557949725007000000,1557949725007000000,4,0,0,10
15,0,123,1557949725319000000,1557949725719000000,1557949725319000000,1557949725719000000,1557949725319000000,1557949725719000000,4,0,0,3
16,0,7,1557949725152000000,1557949725152000000,1557949725152000000,1557949725152000000,1557949725152000000,1557949725152000000,4,0,0,3
17,0,6,1557949725150000000,1557949725150000000,1557949725150000000,1557949725150000000,1557949725150000000,1557949725150000000,4,0,0,10
18,0,213,1557949726064000000,1557949726065000000,1557949726064000000,1557949726065000000,1557949726064000000,1557949726065000000,4,0,0,3
19,0,129,1557949726012000000,1557949726013000000,1557949726012000000,1557949726013000000,1557949726012000000,1557949726013000000,4,0,0,3
20,0,19,1557949725236000000,1557949725236000000,1557949725236000000,1557949725236000000,1557949725236000000,1557949725236000000,4,0,0,10
21,0,18,1557949725236000000,1557949725237000000,1557949725236000000,1557949725237000000,1557949725236000000,1557949725237000000,4,0,0,3
22,0,16,1557949724963000000,1557949724963000000,1557949724963000000,1557949724963000000,1557949724963000000,1557949724963000000,4,0,0,10
23,0,10,1557949725030000000,1557949725030000000,1557949725030000000,1557949725030000000,1557949725030000000,1557949725030000000,4,0,0,3
24,0,9,1557949725437000000,1557949725438000000,1557949725437000000,1557949725438000000,1557949725437000000,1557949725438000000,4,0,0,3
25,0,8,1557949725015000000,1557949725015000000,1557949725015000000,1557949725015000000,1557949725015000000,1557949725015000000,4,0,0,3
26,0,14,1557949725054000000,1557949725054000000,1557949725054000000,1557949725054000000,1557949725054000000,1557949725054000000,4,0,4096,3
27,0,13,1557949725019000000,1557949725019000000,1557949725019000000,1557949725019000000,1557949725019000000,1557949725019000000,4,0,0,3
28,0,12,1557949725422000000,1557949725422000000,1557949725422000000,1557949725422000000,1557949725422000000,1557949725422000000,4,0,0,10
29,0,11,1557949725150000000,1557949725151000000,1557949725150000000,1557949725151000000,1557949725150000000,1557949725151000000,4,0,0,3
30,0,32,1557949725013000000,1557949725013000000,1557949725013000000,1557949725013000000,1557949725013000000,1557949725013000000,4,0,0,10
31,0,136,1557949725149000000,1557949725149000000,1557949725149000000,1557949725149000000,1557949725149000000,1557949725149000000,4,0,0,3
32,0,142,1557949725447000000,1557949725447000000,1557949725447000000,1557949725447000000,1557949725447000000,1557949725447000000,4,0,0,3
33,0,223,1557949725236000000,1557949725236000000,1557949725236000000,1557949725236000000,1557949725236000000,1557949725236000000,4,0,0,3
34,0,147,1557949725548000000,1557949725548000000,1557949725548000000,1557949725548000000,1557949725548000000,1557949725548000000,4,0,32768,3
35,0,153,1557949725048000000,1557949725048000000,1557949725048000000,1557949725048000000,1557949725048000000,1557949725048000000,4,0,0,3
36,0,226,1557949724953000000,1557949724953000000,1557949724953000000,1557949724953000000,1557949724953000000,1557949724953000000,4,0,0,10
37,0,17,1557949726064000000,1557949726065000000,1557949726064000000,1557949726065000000,1557949726064000000,1557949726065000000,4,0,0,3
38,0,33,1557949724952000000,1557949725625000000,1557949724960000000,1557949725625000000,1557949724960000000,1557949725625000000,4,0,0,3
39,0,40,1557949725040000000,1557949725040000000,1557949725040000000,1557949725040000000,1557949725040000000,1557949725040000000,4,0,404,3
40,0,38,1557949725600000000,1557949725607000000,1557949725600000000,1557949725607000000,1557949725600000000,1557949725607000000,4,0,100,3
41,0,15,1557949725052000000,1557949725472000000,1557949725052000000,1557949725472000000,1557949725052000000,1557949725472000000,4,0,0,3
42,0,28,1557949726198000000,1557949726199000000,1557949726198000000,1557949726199000000,1557949726198000000,1557949726199000000,4,0,0,3
43,0,31,1557949726201000000,1557949726239000000,1557949726238000000,1557949726238000000,1557949726238000000,1557949726238000000,4,0,4096,3
44,0,26,1557949725546000000,1557949725549000000,1557949725547000000,1557949725549000000,1557949725547000000,1557949725549000000,4,0,32768,3
45,0,29,1557949725438000000,1557949725438000000,1557949725438000000,1557949725438000000,1557949725438000000,1557949725438000000,4,0,0,3
46,0,24,1557949725006000000,1557949725006000000,1557949725006000000,1557949725006000000,1557949725006000000,1557949725006000000,4,0,0,10
47,0,27,1557949725036000000,1557949725036000000,1557949725036000000,1557949725036000000,1557949725036000000,1557949725036000000,4,0,0,3
48,0,25,1557949725152000000,1557949725152000000,1557949725152000000,1557949725152000000,1557949725152000000,1557949725152000000,4,0,0,10
49,0,261,1557949725019000000,1557949725019000000,1557949725019000000,1557949725019000000,1557949725019000000,1557949725019000000,4,0,0,3
50,0,23,1557949725005000000,1557949725005000000,1557949725005000000,1557949725005000000,1557949725005000000,1557949725005000000,4,0,0,10
51,0,259,1557949725018000000,1557949725018000000,1557949725018000000,1557949725018000000,1557949725018000000,1557949725018000000,4,0,0,3
52,0,22,1557949725039000000,1557949725193000000,1557949725039000000,1557949725193000000,1557949725039000000,1557949725193000000,4,0,0,3
